codigo_departamento,nome_departamento,codigo_unidade_CH_E
ACH,"Artes, Ciências e Humanidades",86
CAC,Artes Cênicas,27
CAP,Artes Plásticas,27
CTR,"Cinema, Rádio e Televisão",27
CCA,Comunicações e Artes,27
270,Disciplinas Interdepartamentais da Escola de Comunicações e Artes,27
CBD,Informação e Cultura,27
CJE,Jornalismo e Editoração,27
CMU,Música,27
CRP,"Relac.públicas,propaganda e Turismo",27
EFB,Biodinâmica do Mov Corpo Humano,39
390,Disciplinas Interdepartamentais da EEFE,39
EFE,Esporte,39
EFP,Pedag do Mov do Corpo Humano,39
REF,Educação Física e Esporte de Ribeirão Preto,98
070,Disciplinas Interdepartamentais da Escola de Enfermagem,7
ENS,Enfermagem de Saúde Coletiva,7
ENP,Enfermagem Materno-infantil e Psiquiátrica,7
ENC,Enfermagem Médico-cirúrgica,7
ENO,Orientação Profissional,7
ERM,Enf Materno-infantil e Saúde Pública,22
ERP,Enf Psiquiátrica e Ciências Humanas,22
ERG,Enfermagem Geral e Especializada,22
220,Interdepartamentais da EERP,22
940,Disciplinas Interunidades EERP e FEARP,94
