codigo_disciplina,nome_disciplina,nome_disciplina_ingles,ativacao_disciplina,desativacao_disciplina,codigo_departamento_CH_E
ACH3867,A cidade constitucional e orgânica,The constitutional and organic city,01/01/2024,None,ACH
ACH3666,A Cidade Constitucional I,Constitutional City I,01/01/2025,None,ACH
ACH4115,A Epistemologia e o Ensino de Ciências,Epistemology and science teaching,01/01/2025,None,ACH
ACH3698,A Recente Produção Acadêmica de Fronteira em Políticas Públicas,Recent frontier academic literature on public policy,01/01/2014,None,ACH
ACH3828,"Ação Pública, Mudança Social","Public Action, Social Change",15/07/2018,None,ACH
ACH1571,Administração de Redes de Turismo,Network Administration in Tourism,01/01/2025,None,ACH
ACH5017,Administração de serviços de atenção à saúde I,Administration of Health Care Services I,01/01/2024,None,ACH
ACH5048,Administração de Serviços de Atenção à Saúde II,Administration of Health Care Services II,01/01/2025,None,ACH
ACH1708,Administração Financeira de Negócios de Lazer e Turismo,Financial management of leisure and tourism business,01/01/2019,None,ACH
ACH2787,"Adornos Corporais - Linguagens, Formas, Criação","Body Ornament - Language, Shapes and Creation",01/01/2016,None,ACH
ACH1505,Agências de Turismo,Travel Agency and Tour Operators,01/01/2023,None,ACH
ACH1115,Água e Saneamento Ambiental,Water and Environmental Sanitation,01/01/2025,None,ACH
ACH2717,Alfaiataria,Tailoring,01/01/2010,None,ACH
ACH2877,Alfaiataria I,Tailoring I,15/07/2019,None,ACH
ACH2818,Alfaiataria II,Tailoring II,15/07/2019,None,ACH
ACH2023,Algoritmos e Estruturas de Dados I,Algorithms and Data Structures I,01/01/2021,None,ACH
ACH2024,Algoritmos e Estruturas de Dados II,Algorithms and Data Structures II,01/01/2021,None,ACH
ACH1718,Alimentação e Sociedade,Food and Society,15/07/2021,None,ACH
ACH4068,"Alimentos, Metabolismo e Saúde","Food, Metabolism and Health",01/01/2025,None,ACH
ACH3096,Ambiência e Envelhecimento,Ambience and aging,01/01/2011,None,ACH
ACH1063,Ambiente Aquático,Aquatic Environment,01/01/2009,None,ACH
ACH1034,Ambiente Atmosférico,Atmospheric Environment,01/01/2009,None,ACH
ACH1053,Ambiente Terrestre,Terrestrial Environment,01/01/2012,None,ACH
ACH3126,Amor e Conjugalidade na Vida Adulta e na Velhice,Love and conjugal relationships in adulthood and old age,01/01/2014,None,ACH
ACH2747,Análise Cultural,Cultural analysis,01/01/2012,None,ACH
ACH4698,Análise de Campanhas de Comunicação,Advertising Analysis,01/01/2011,None,ACH
ACH3664,Análise de Dados em Políticas Públicas,Data Analysis in Public Policies,01/01/2025,None,ACH
ACH3661,Análise de Organizações Públicas II: Administração e Pessoas,Analysis of Public Organizations II: Administration and People,01/01/2025,None,ACH
ACH3541,Análise de Organizações Públicas: Administração e Pessoas,Analysis of Public Organizations: Management and People,01/01/2025,None,ACH
ACH3561,Análise de Políticas Públicas I,Analysis of Public Policies I,01/01/2025,None,ACH
ACH3545,Análise de Políticas Públicas II,Analysis of Public Policies II,01/01/2025,None,ACH
ACH2197,Análise de Redes Sociais,Social Network Analysis,15/07/2021,None,ACH
ACH4608,Análise de Séries Temporais,Time Series Analysis,01/01/2012,None,ACH
ACH1047,Análise Energética e Meio Ambiente,Energy Analysis and Environment,01/01/2025,None,ACH
ACH1137,Análise Financeira e Prestação de Contas em Gestão Socioambiental,Financial Analysis and Accountability on Socio-Environmental Management,01/01/2017,None,ACH
ACH4514,Análise Multivariada I,Multivariate Analysis I,01/01/2022,None,ACH
ACH4515,Análise Multivariada II,Multivariate Analysis II,01/01/2012,None,ACH
ACH2005,"Análise, Projeto e Interface Humano-Computador","Analysis, Design and Human Computer Interface",01/01/2021,None,ACH
ACH5044,"Anatomia, Fisiologia e Endocrinologia do Sistema Reprodutor","Anatomy, Physiology and Endocrinology of the Reproductive System",01/01/2011,None,ACH
ACH1545,Animação Cultural e Lazer,"Cultural Animation, Leisure and Recreation Laboratory",01/01/2012,None,ACH
ACH2543,Antropologia Aplicada,Applied Anthropology,01/01/2016,None,ACH
ACH5083,Antropologia da Saúde,Anthropology of Health,01/01/2024,None,ACH
ACH5041,Antropologia do Nascimento,Anthropology of Birth,01/01/2024,None,ACH
ACH2608,Aplicação de Enzimas na Indústria Têxtil,Application of Enzymes in Textile Industry,01/01/2007,None,ACH
ACH0544,Aprendizagem Motora,Motor Learning,01/01/2025,None,ACH
ACH2687,Arte e Semiótica,Art and Semiotics,01/01/2010,None,ACH
ACH0162,"Arte, Literatura e Cultura","Art, Literature and Culture",01/01/2022,None,ACH
ACH0172,"Arte, Literatura e Cultura - Arte Contemporânea","Art, Literature and Culture -– Contemporary Art",01/01/2013,None,ACH
ACH0192,"Arte, Literatura e Cultura - Literatura Contemporânea","Art, Literature and Culture –- Contemporary Literature",01/01/2013,None,ACH
ACH0182,"Arte, Literatura e Cultura – Fantasia e Ficção Científica na Cultura Pop","Art, Literature and Culture –- Phantasy and Science Fiction in Pop Culture",01/01/2013,None,ACH
ACH2573,Artes e Design Visuais,Visual Arts and Design,15/07/2018,None,ACH
ACH4088,As imagens Geográficas na Formação do Professor de Ciências,Geographical images in science-teaching preparation,01/01/2011,None,ACH
ACH0523,Aspectos Metabólicos e Nutricionais da Atividade Física I,Metabolic and Nutritional Aspects of Physical Activity I,01/01/2010,None,ACH
ACH0524,Aspectos Metabólicos e Nutricionais da Atividade Física II,Metabolic and Nutritional Aspects of Physical Activity II,01/01/2010,None,ACH
ACH5014,"Aspectos Psicossociais da Gestação, Parto e Pós-Parto","Psychosocial Aspects of Pregnancy, Childbirth and Postpartum Period",01/01/2017,None,ACH
ACH3023,Aspectos Sócio - Culturais do Envelhecimento,Sociocultural aspects of aging,01/01/2024,None,ACH
ACH5016,Assistência à Mulher em Risco Obstétrico,Women Care in situation of Obstetric Risk,01/01/2023,None,ACH
