codigo_docente,nome_docente
5607659,Marcelo Arno Nerling
5607659,Marcelo Arno Nerling
2373511,Rogério Monteiro de Siqueira
1916087,Thomás Augusto Santoro Haddad
1887012,Wagner Pralon Mancuso
5830822,Alessandro Soares da Silva
191432,Eduardo de Lima Caldas
1329307,Martin Jayo
4845650,Edegar Luís Tomazzoni
224372,Eunice Almeida da Silva
224372,Eunice Almeida da Silva
2945554,Glauber Eduardo de Oliveira Santos
6206615,Beatriz Helena Fonseca Ferreira Pires
1284483,Marcelo Vilela de Almeida
1451426,Marcelo Antunes Nolasco
2566012,Isabel Cristina Italiano
2566012,Isabel Cristina Italiano
2566012,Isabel Cristina Italiano
5523701,Ivandre Paraboni
5523701,Ivandre Paraboni
11698862,Mariana Bueno de Andrade Matos
978554,José Ribamar dos Santos Ferreira Júnior
2319983,Maria Luisa Trindade Bestetti
1001570,Luís César Schiesari
1823410,Sérgio Almeida Pacca
2245911,Cristiano Mazur Chiessi
5976982,Deusivania Vieira da Silva Falcão
3193721,Jefferson Agostini Mello
1771910,Sumaia Abdel Latif
500432,Alexandre Ribeiro Leichsenring
191432,Eduardo de Lima Caldas
5333863,Patrícia Maria Emerenciano de Mendonça
191432,Eduardo de Lima Caldas
1051844,Fernando de Souza Coelho
885940,Jose Carlos Vaz
5333863,Patrícia Maria Emerenciano de Mendonça
309946,Cecilia Olivieri
494026,Cristiane Kerches da Silva Leite
2949346,Renata Mirandola Bichir
1987427,Wagner Tadeu Iglecias
309946,Cecilia Olivieri
494026,Cristiane Kerches da Silva Leite
2949346,Renata Mirandola Bichir
1987427,Wagner Tadeu Iglecias
3140792,Luciano Antonio Digiampietri
1771910,Sumaia Abdel Latif
1823410,Sérgio Almeida Pacca
627660,Alexandre Toshiro Igari
1754921,Rosane Rivera Torres
1771910,Sumaia Abdel Latif
3397833,Marcelo Ventura Freire
1771910,Sumaia Abdel Latif
5057080,Marcelo Medeiros Eler
1364328,Marcelo Morandini
3399922,Marcos Lordello Chaim
1315570,Patricia Cristina Baleeiro Beltrao Braga
5856870,Edmur Antonio Stoppa
3755807,Stephane Remy Georges Malysse
131031,Edemilson Antunes de Campos
131031,Edemilson Antunes de Campos
5347191,Silgia Aparecida da Costa
597730,Cassio de Miranda Meira Junior
5033416,Claudia Regina Garcia Vicentini
3193721,Jefferson Agostini Mello
465955,Dária Gorete Jaremtchuk
564671,Adriano Schwartz
770448,Luis Paulo de Carvalho Piassi
2166145,Antonio Takao Kanamaru
5981856,Valéria Cazetta
1032901,Fabiana de Sant'Anna Evangelista
3021642,Felipe Santiago Chambergo Alcalde
4881727,Flávio de Oliveira Pires
1032901,Fabiana de Sant'Anna Evangelista
4881727,Flávio de Oliveira Pires
2796301,Jacqueline Isaac Machado Brigagão
556504,Andrea Lopes
1846019,Rosemeire Sartori de Albuquerque
5614629,Christiane Borges do Nascimento Chofakian
5042952,Marlise de Oliveira Pimentel Lima
2343664,Roselane Gonçalves
3265791,Patrícia Wottrich Parenti
52624,Maria Aparecida de Jesus Belli
3248899,Adriana Caroci Becker
595151,Angela Megumi Ochiai
