codigo_docentes,codigo_disciplina
5607659,ACH3867
5607659,ACH3666
2373511,ACH4115
1916087,ACH4115
1887012,ACH3698
5830822,ACH3828
191432,ACH3828
1329307,ACH3828
4845650,ACH1571
224372,ACH5017
224372,ACH5048
2945554,ACH1708
6206615,ACH2787
1284483,ACH1505
1451426,ACH1115
2566012,ACH2717
2566012,ACH2877
2566012,ACH2818
5523701,ACH2023
5523701,ACH2024
11698862,ACH1718
978554,ACH4068
2319983,ACH3096
1001570,ACH1063
1823410,ACH1034
2245911,ACH1053
5976982,ACH3126
3193721,ACH2747
1771910,ACH4698
500432,ACH3664
191432,ACH3661
5333863,ACH3661
191432,ACH3541
1051844,ACH3541
885940,ACH3541
5333863,ACH3541
309946,ACH3561
494026,ACH3561
2949346,ACH3561
1987427,ACH3561
309946,ACH3545
494026,ACH3545
2949346,ACH3545
1987427,ACH3545
3140792,ACH2197
1771910,ACH4608
1823410,ACH1047
627660,ACH1137
1754921,ACH4514
1771910,ACH4514
3397833,ACH4515
1771910,ACH4515
5057080,ACH2005
1364328,ACH2005
3399922,ACH2005
1315570,ACH5044
5856870,ACH1545
3755807,ACH2543
131031,ACH5083
131031,ACH5041
5347191,ACH2608
597730,ACH0544
5033416,ACH2687
3193721,ACH0162
465955,ACH0172
564671,ACH0192
770448,ACH0182
2166145,ACH2573
5981856,ACH4088
1032901,ACH0523
3021642,ACH0523
4881727,ACH0523
1032901,ACH0524
4881727,ACH0524
2796301,ACH5014
556504,ACH3023
1846019,ACH5016
5614629,ACH5015
5042952,ACH5037
2343664,ACH5037
3265791,ACH5036
52624,ACH5006
3248899,ACH5038
595151,ACH5038
2507882,ACH5038
2796301,ACH5057
1846019,ACH5067
2872716,ACH4073
1738717,ACH4073
1738717,ACH4077
2872716,ACH4116
1738717,ACH4116
2320046,ACH0606
3372766,ACH0522
6261191,ACH0573
4811304,ACH0573
4880153,ACH4083
1112111,ACH3727
2558886,ACH2807
5618039,ACH3061
1364328,ACH2068
3071663,ACH1066
1161555,ACH3127
6092342,ACH3095
734621,ACH2004
5095110,ACH2004
3200072,ACH2004
734621,ACH2025
5095110,ACH2025
3200072,ACH2025
5347191,ACH2523
3207980,ACH2523
5347191,ACH2524
3207980,ACH2524
5528582,ACH5532
1538291,ACH5532
978554,ACH8612
655501,ACH3094
131031,ACH5026
9406670,ACH5555
1596950,ACH5555
264631,ACH5022
1315570,ACH5022
799735,ACH5553
3164916,ACH5553
3021642,ACH0596
1538519,ACH4106
3164916,ACH4106
799735,ACH4067
3164916,ACH4067
1391402,ACH3042
556504,ACH3032
75706,ACH3032
3021642,ACH5564
799735,ACH5564
3164916,ACH5564
75706,ACH0574
3372766,ACH0574
5528582,ACH1024
889774,ACH0514
2181970,ACH0514
889774,ACH0515
2181970,ACH0515
1619061,ACH5524
5729116,ACH3147
5729116,ACH5567
6630800,ACH5542
978554,ACH5542
6630800,ACH5543
978554,ACH5543
2872716,ACH5527
3021642,ACH5527
2355031,ACH5527
5729116,ACH5527
4983370,ACH5527
2037300,ACH5064
3021642,ACH3977
4983370,ACH3977
1349898,ACH2847
309946,ACH3877
1771910,ACH4532
618281,ACH5511
1738717,ACH5511
1780347,ACH5511
2159731,ACH2011
3082508,ACH2011
2243307,ACH2011
618281,ACH5512
1738717,ACH5512
1780347,ACH5512
3764294,ACH2012
2159731,ACH2012
2243307,ACH2012
618281,ACH4021
7029901,ACH4021
2373511,ACH4021
1780347,ACH4021
6600021,ACH1037
314719,ACH3011
2009222,ACH5544
1661344,ACH5544
1987427,ACH3542
6631565,ACH4537
1606310,ACH0131
2373511,ACH0131
1916087,ACH0131
4880153,ACH0131
2009222,ACH0101
3416847,ACH0111
799735,ACH0111
1538291,ACH0111
1409522,ACH0111
1619061,ACH0111
2341766,ACH0121
2872716,ACH0121
770448,ACH0121
463504,ACH4125
889774,ACH0635
2181970,ACH0635
2181970,ACH0616
2166145,ACH2525
5530115,ACH4543
1603428,ACH4543
236942,ACH4586
627660,ACH1147
1882514,ACH1147
1048221,ACH2157
734621,ACH2157
2933241,ACH2157
5603568,ACH2117
3082508,ACH2117
3286158,ACH2003
2933241,ACH2003
1875968,ACH2167
1875968,ACH2207
1349898,ACH2707
655501,ACH3065
2065862,ACH4647
1051844,ACH3605
980651,ACH3605
1329307,ACH3605
1948868,ACH3605
196611,ACH4074
106172,ACH4074
138953,ACH1006
654070,ACH2087
5765142,ACH1538
1112111,ACH3603
1945163,ACH2015
191432,ACH3563
1112111,ACH3563
6261191,ACH0543
6206615,ACH2797
597730,ACH0593
2342260,ACH0593
3164916,ACH5556
161192,ACH5084
5614629,ACH5084
222018,ACH5084
2918077,ACH5084
2919791,ACH5084
72832,ACH5084
1846019,ACH5084
556504,ACH3108
161192,ACH3108
5045503,ACH3566
864112,ACH4042
864112,ACH4136
3140792,ACH2107
3140792,ACH2108
1349898,ACH2541
2166145,ACH2552
1349898,ACH2655
3286158,ACH2147
3073748,ACH2147
7293313,ACH2147
918601,ACH1187
191432,ACH3555
5033416,ACH2576
1349898,ACH2585
4880153,ACH4096
1034560,ACH1012
6956592,ACH3534
3733052,ACH3534
5607659,ACH3534
5998458,ACH1106
1914262,ACH1524
6956592,ACH3533
472709,ACH3533
3733052,ACH3533
5607659,ACH3533
6956592,ACH3808
3733052,ACH3808
2937197,ACH3808
6956592,ACH3628
3733052,ACH3628
2937197,ACH3628
5607659,ACH3628
6956592,ACH3857
3733052,ACH3857
2937197,ACH3857
5607659,ACH3857
6956592,ACH3596
3733052,ACH3596
5607659,ACH3596
6956592,ACH3647
3733052,ACH3647
2937197,ACH3647
5607659,ACH3647
7480016,ACH3105
5128784,ACH4095
5347246,ACH4085
2355031,ACH4085
770448,ACH4084
58676,ACH3758
2181970,ACH0613
5033416,ACH2638
1001570,ACH1033
2355031,ACH4008
2355031,ACH5505
358969,ACH1044
1001570,ACH1133
1252362,ACH1064
1119925,ACH3505
1558501,ACH3505
6000623,ACH4697
191432,ACH3637
885940,ACH3637
2945554,ACH1543
479262,ACH3574
3031417,ACH3574
1119925,ACH3574
161192,ACH3156
2160326,ACH3156
2168766,ACH2557
1252362,ACH1025
2184420,ACH2047
1597012,ACH1005
2050208,ACH4038
7317228,ACH5073
5997291,ACH5073
2796301,ACH5073
1112111,ACH3798
5268620,ACH3098
7028358,ACH1666
4966179,ACH1666
1112111,ACH3575
6743581,ACH3575
5530115,ACH4567
5530115,ACH4568
627660,ACH1157
1882514,ACH1157
5981856,ACH4156
196611,ACH4015
106172,ACH4015
2341766,ACH4015
2872716,ACH4015
1538519,ACH4015
3164916,ACH5043
2558886,ACH2657
574881,ACH3088
2319983,ACH3088
2184420,ACH2008
2872716,ACH5508
2184420,ACH5508
6630800,ACH5506
3021642,ACH5506
6630800,ACH5507
3021642,ACH5507
3286158,ACH2006
5057080,ACH2006
3399922,ACH2006
5978942,ACH2007
3021642,ACH5545
799735,ACH5545
3164916,ACH5545
2166145,ACH2798
463504,ACH4206
1645572,ACH4206
4880153,ACH4206
463504,ACH4246
4880153,ACH4246
723639,ACH1553
556504,ACH3136
556504,ACH3106
5976982,ACH3106
1554146,ACH3106
5042952,ACH5053
314719,ACH8622
2546570,ACH0502
655501,ACH3113
2340063,ACH1043
3785714,ACH1698
2166145,ACH2574
1980660,ACH1573
5090244,ACH0567
1791624,ACH0567
2342260,ACH0557
3396220,ACH0628
889774,ACH0628
2342260,ACH0628
2364827,ACH0608
889774,ACH0625
2191255,ACH0625
2342260,ACH0603
2364827,ACH0645
2364827,ACH0665
309946,ACH3554
1051844,ACH3554
1987427,ACH3554
5830822,ACH3676
2872716,ACH5518
4983370,ACH5518
224372,ACH5018
224372,ACH5039
161192,ACH3255
7480016,ACH3255
1447122,ACH3255
1554146,ACH3255
2160326,ACH3255
161192,ACH3256
7480016,ACH3256
1447122,ACH3256
1554146,ACH3256
2160326,ACH3256
161192,ACH3257
7480016,ACH3257
1447122,ACH3257
1554146,ACH3257
2160326,ACH3257
571262,ACH5027
984245,ACH5027
52624,ACH5027
1327135,ACH5027
3265791,ACH5027
314719,ACH3053
1846019,ACH3053
6658321,ACH3053
571262,ACH5028
984245,ACH5028
52624,ACH5028
1327135,ACH5028
3265791,ACH5028
556504,ACH3054
655501,ACH3054
1846019,ACH3054
3248899,ACH5019
595151,ACH5019
5359483,ACH5019
5614629,ACH5019
5869926,ACH5019
7131594,ACH5019
3600443,ACH5019
5042952,ACH5019
2507882,ACH5019
5614661,ACH5019
2343664,ACH5019
5976982,ACH3055
1554146,ACH3055
1846019,ACH3055
3248899,ACH5049
595151,ACH5049
5359483,ACH5049
5614629,ACH5049
5869926,ACH5049
7131594,ACH5049
3600443,ACH5049
5042952,ACH5049
2507882,ACH5049
2343664,ACH5049
2160326,ACH3056
6092342,ACH3056
574881,ACH3057
161192,ACH3057
161192,ACH3058
7480016,ACH3058
5976982,ACH3058
2319983,ACH3058
1447122,ACH3058
2160326,ACH3058
6092342,ACH3058
5729116,ACH3058
161192,ACH3258
7480016,ACH3258
5976982,ACH3258
2319983,ACH3258
1447122,ACH3258
2160326,ACH3258
6092342,ACH3258
5729116,ACH3258
8475697,ACH4737
1090723,ACH2548
2144321,ACH0525
2364827,ACH0525
2320046,ACH0525
2144321,ACH0526
2364827,ACH0526
2320046,ACH0526
2144321,ACH0517
2364827,ACH0517
2320046,ACH0517
2144321,ACH0518
2364827,ACH0518
2320046,ACH0518
3372766,ACH0518
5530115,ACH4687
5530115,ACH4688
643522,ACH1004
643522,ACH5513
479262,ACH3584
500432,ACH3584
3031417,ACH3584
500432,ACH3553
691878,ACH4727
2065862,ACH4727
2166145,ACH2887
2166145,ACH2907
14660271,ACH4747
196611,ACH4027
2341766,ACH4027
3079866,ACH4034
6743581,ACH3807
1538291,ACH4196
889774,ACH0587
2181970,ACH0587
