codigo_unidade,nome_unidade
86,"Escola de Artes, Ciências e Humanidades"
27,Escola de Comunicações e Artes
39,Escola de Educação Física e Esporte
98,Escola de Educação Física e Esporte de Ribeirão Preto
7,Escola de Enfermagem
22,Escola de Enfermagem de Ribeirão Preto
94,"Escola de Enfermagem de Ribeirão Preto e Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto"
88,Escola de Engenharia de Lorena
18,Escola de Engenharia de São Carlos
97,Escola de Engenharia de São Carlos e Instituto de Ciências Matemáticas e de Computação
3,Escola Politécnica
20,"Escola Politécnica, Instituto de Matemática e Estatística, Instituto de Física"
11,"Escola Superior de Agricultura ""Luiz de Queiroz"""
16,Faculdade de Arquitetura e Urbanismo e de Design
9,Faculdade de Ciências Farmacêuticas
60,Faculdade de Ciências Farmacêuticas de Ribeirão Preto
100,Faculdade de Ciências Farmacêuticas e Instituto de Ciências Biomédicas
2,Faculdade de Direito
89,Faculdade de Direito de Ribeirão Preto
81,"Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto"
12,"Faculdade de Economia, Administração, Contabilidade e Atuária"
48,Faculdade de Educação
59,"Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto"
96,"Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto e Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto"
91,"Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto e Faculdade de Medicina de Ribeirão Preto"
8,"Faculdade de Filosofia, Letras e Ciências Humanas"
5,Faculdade de Medicina
24,Faculdade de Medicina de Bauru
17,Faculdade de Medicina de Ribeirão Preto
10,Faculdade de Medicina Veterinária e Zootecnia
67,"Faculdade de Medicina, Instituto de Ciências Biomédicas, Instituto de Química e Instituto de Biociências"
23,Faculdade de Odontologia
25,Faculdade de Odontologia de Bauru
58,Faculdade de Odontologia de Ribeirão Preto
95,Faculdade de Odontologia de Ribeirão Preto e Faculdade de Ciências Farmacêuticas de Ribeirão Preto
68,Faculdade de Odontologia e Instituto de Ciências Biomédicas
15,"Faculdade de Odontologia, Instituto de Ciências Biomédicas, Instituto de Química e Instituto de Biociências"
6,Faculdade de Saúde Pública
102,Faculdade de Saúde Pública e Faculdade de Ciências Farmacêuticas
74,Faculdade de Zootecnia e Engenharia de Alimentos
66,Física Médica - Instituto de Física e Faculdade de Medicina
61,Hospital de Reabilitação de Anomalias Craniofaciais
99,Instituto de Arquitetura e Urbanismo de São Carlos
14,"Instituto de Astronomia, Geofísica e Ciências Atmosféricas"
26,"Instituto de Astronomia, Geofísica e Ciências Atmosféricas e Instituto de Geociências"
93,"Instituto de Astronomia, Geofísica e Ciências Atmosféricas e Instituto Oceanográfico"
41,Instituto de Biociências
92,Instituto de Biociências e Centro de Biologia Marinha
69,Instituto de Biociências e Faculdade de Arquitetura e Urbanismo
42,Instituto de Ciências Biomédicas
55,Instituto de Ciências Matemáticas e de Computação
4,Instituto de Energia e Ambiente
37,Instituto de Estudos Avançados
43,Instituto de Física
76,Instituto de Física de São Carlos
44,Instituto de Geociências
45,Instituto de Matemática e Estatística
83,Instituto de Medicina Tropical de São Paulo
47,Instituto de Psicologia
46,Instituto de Química
75,Instituto de Química de São Carlos
101,Instituto de Química e Faculdade de Ciências Farmacêuticas
87,Instituto de Relações Internacionais
21,Instituto Oceanográfico
90,Licenciatura em Ciências Exatas - São Carlos
1,Pró-Reitoria de Graduação - Cursos Interunidades
65,Pró-Reitoria de Graduação - Licenciatura em Ciências - Semipresencial
30,Centro de Biologia Marinha
64,Centro de Energia Nuclear na Agricultura
31,Instituto de Estudos Brasileiros
85,Instituto de Pesquisas Energéticas e Nucleares
71,Museu de Arqueologia e Etnologia
32,Museu de Arte Contemporânea
38,Museu de Zoologia
33,Museu Paulista
